,mean,std,min,max
acousticness,0.34279743495501813,0.3454945281665935,0.0,0.996
danceability,0.5826917542379382,0.1884896576227981,0.0237,0.986
duration_ms,212902.49702495095,123962.00030573425,15000.0,5610020.0
energy,0.5699141532714582,0.2591252441008553,2.03e-05,1.0
instrumentalness,0.22346248007374614,0.3597998372549574,0.0,1.0
key,5.237193043973745,3.6024677952248223,0.0,11.0
liveness,0.19462037278515,0.16714493255641522,0.0113,0.996
loudness,-9.944073055808193,6.497963966826248,-58.656000000000006,1.806
mode,0.6073154428604302,0.4883502933461033,0.0,1.0
speechiness,0.111979522019746,0.12408829658845388,0.0221,0.966
tempo,119.7393486231495,29.607226547468937,31.608,249.983
time_signature,3.8875289012590537,0.4811145151537311,0.0,5.0
valence,0.44099974381814394,0.25836911328677287,0.0,1.0
popularity,24.24149946854557,19.72569029862498,0.0,100.0
